id,user_id,setting_id
70000001,10000001,40000001
70000002,10000002,40000002
70000003,10000003,40000003
70000004,10000004,40000004
70000005,10000005,40000005
70000006,10000006,40000006
70000007,10000007,40000007
70000008,10000008,40000008
70000009,10000009,40000009
70000010,10000010,40000010
70000011,10000011,40000011
70000012,10000012,40000012
70000013,10000013,40000013
70000014,10000014,40000014
70000015,10000015,40000015
70000016,10000016,40000016
70000017,10000017,40000017
70000018,10000018,40000018
70000019,10000019,40000019
70000020,10000020,40000020
70000021,10000021,40000021
70000022,10000022,40000022
70000023,10000023,40000023
70000024,10000024,40000024
70000025,10000025,40000025
70000026,10000026,40000026
70000027,10000027,40000027
70000028,10000028,40000028
70000029,10000029,40000029
70000030,10000030,40000030
70000031,10000031,40000031
70000032,10000032,40000032
70000033,10000033,40000033
70000034,10000034,40000034
70000035,10000035,40000035
70000036,10000036,40000036
70000037,10000037,40000037
70000038,10000038,40000038
70000039,10000039,40000039
70000040,10000040,40000040
70000041,10000041,40000041
70000042,10000042,40000042
70000043,10000043,40000043
70000044,10000044,40000044
70000045,10000045,40000045
70000046,10000046,40000046
70000047,10000047,40000047
70000048,10000048,40000048
70000049,10000049,40000049
70000050,10000050,40000050
70000051,10000051,40000051
70000052,10000052,40000052
70000053,10000053,40000053
70000054,10000054,40000054
70000055,10000055,40000055
70000056,10000056,40000056
70000057,10000057,40000057
70000058,10000058,40000058
70000059,10000059,40000059
70000060,10000060,40000060
70000061,10000061,40000061
70000062,10000062,40000062
70000063,10000063,40000063
70000064,10000064,40000064
70000065,10000065,40000065
70000066,10000066,40000066
70000067,10000067,40000067
70000068,10000068,40000068
70000069,10000069,40000069
70000070,10000070,40000070
70000071,10000071,40000071
70000072,10000072,40000072
70000073,10000073,40000073
70000074,10000074,40000074
70000075,10000075,40000075
70000076,10000076,40000076
70000077,10000077,40000077
70000078,10000078,40000078
70000079,10000079,40000079
70000080,10000080,40000080
70000081,10000081,40000081
70000082,10000082,40000082
70000083,10000083,40000083
70000084,10000084,40000084
70000085,10000085,40000085
70000086,10000086,40000086
70000087,10000087,40000087
70000088,10000088,40000088
70000089,10000089,40000089
70000090,10000090,40000090
70000091,10000091,40000091
70000092,10000092,40000092
70000093,10000093,40000093
70000094,10000094,40000094
70000095,10000095,40000095
70000096,10000096,40000096
70000097,10000097,40000097
70000098,10000098,40000098
70000099,10000099,40000099
70000100,10000100,40000100
70000101,10000101,40000101
70000102,10000102,40000102
70000103,10000103,40000103
70000104,10000104,40000104
70000105,10000105,40000105
70000106,10000106,40000106
70000107,10000107,40000107
70000108,10000108,40000108
70000109,10000109,40000109
70000110,10000110,40000110
70000111,10000111,40000111
70000112,10000112,40000112
70000113,10000113,40000113
70000114,10000114,40000114
70000115,10000115,40000115
70000116,10000116,40000116
70000117,10000117,40000117
70000118,10000118,40000118
70000119,10000119,40000119
70000120,10000120,40000120
70000121,10000121,40000121
70000122,10000122,40000122
70000123,10000123,40000123
70000124,10000124,40000124
70000125,10000125,40000125
70000126,10000126,40000126
70000127,10000127,40000127
70000128,10000128,40000128
70000129,10000129,40000129
70000130,10000130,40000130
70000131,10000131,40000131
70000132,10000132,40000132
70000133,10000133,40000133
70000134,10000134,40000134
70000135,10000135,40000135
70000136,10000136,40000136
70000137,10000137,40000137
70000138,10000138,40000138
70000139,10000139,40000139
70000140,10000140,40000140
70000141,10000141,40000141
70000142,10000142,40000142
70000143,10000143,40000143
70000144,10000144,40000144
70000145,10000145,40000145
70000146,10000146,40000146
70000147,10000147,40000147
70000148,10000148,40000148
70000149,10000149,40000149
70000150,10000150,40000150
70000151,10000151,40000151
70000152,10000152,40000152
70000153,10000153,40000153
70000154,10000154,40000154
70000155,10000155,40000155
70000156,10000156,40000156
70000157,10000157,40000157
70000158,10000158,40000158
70000159,10000159,40000159
70000160,10000160,40000160
70000161,10000161,40000161
70000162,10000162,40000162
70000163,10000163,40000163
70000164,10000164,40000164
70000165,10000165,40000165
70000166,10000166,40000166
70000167,10000167,40000167
70000168,10000168,40000168
70000169,10000169,40000169
70000170,10000170,40000170
70000171,10000171,40000171
70000172,10000172,40000172
70000173,10000173,40000173
70000174,10000174,40000174
70000175,10000175,40000175
70000176,10000176,40000176
70000177,10000177,40000177
70000178,10000178,40000178
70000179,10000179,40000179
70000180,10000180,40000180
70000181,10000181,40000181
70000182,10000182,40000182
70000183,10000183,40000183
70000184,10000184,40000184
70000185,10000185,40000185
70000186,10000186,40000186
70000187,10000187,40000187
70000188,10000188,40000188
70000189,10000189,40000189
70000190,10000190,40000190
70000191,10000191,40000191
70000192,10000192,40000192
70000193,10000193,40000193
70000194,10000194,40000194
70000195,10000195,40000195
70000196,10000196,40000196
70000197,10000197,40000197
70000198,10000198,40000198
70000199,10000199,40000199
70000200,10000200,40000200
70000201,10000201,40000201
70000202,10000202,40000202
70000203,10000203,40000203
70000204,10000204,40000204
70000205,10000205,40000205
70000206,10000206,40000206
70000207,10000207,40000207
70000208,10000208,40000208
70000209,10000209,40000209
70000210,10000210,40000210
70000211,10000211,40000211
70000212,10000212,40000212
70000213,10000213,40000213
